"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"6/2/2023","6/2/2023","6/6/2023","INTC","Intel
CUSIP: 458140100
order batcher","Buy","0.008712","$30.99","($0.27)"
"6/1/2023","6/1/2023","6/1/2023","INTC","Cash Div: R/D 2023-05-07 P/D 2023-06-01 - 2.148769 shares at 0.125","CDIV","","","$0.27"
"5/31/2023","5/31/2023","6/2/2023","WMT","Walmart
CUSIP: 931142103
order batcher","Buy","0.000818","$146.53","($0.12)"
"5/30/2023","5/30/2023","5/30/2023","WMT","Cash Div: R/D 2023-05-05 P/D 2023-05-30 - 0.202033 shares at 0.57","CDIV","","","$0.12"
"5/25/2023","5/25/2023","5/30/2023","TGT","Target
CUSIP: 87612E106","Buy","0.002057","$140.94","($0.29)"
"5/25/2023","5/25/2023","5/30/2023","TGT","Target
CUSIP: 87612E106","Buy","0.210785","$140.94","($29.71)"
"5/25/2023","5/25/2023","5/30/2023","MSFT","Microsoft
CUSIP: 594918104","Buy","0.000123","$323.02","($0.04)"
"5/25/2023","5/25/2023","5/30/2023","MSFT","Microsoft
CUSIP: 594918104","Buy","0.09276","$323.02","($29.96)"
"5/25/2023","5/25/2023","5/30/2023","HRL","Hormel
CUSIP: 440452100","Buy","0.001035","$38.62","($0.04)"
"5/25/2023","5/25/2023","5/30/2023","HRL","Hormel
CUSIP: 440452100","Buy","0.387396","$38.62","($14.96)"
"5/25/2023","5/25/2023","5/30/2023","SPG","Simon Property Group
CUSIP: 828806109","Buy","0.145985","$102.13","($14.91)"
"5/25/2023","5/25/2023","5/30/2023","D","Dominion Energy
CUSIP: 25746U109","Buy","0.002941","$51.00","($0.15)"
"5/25/2023","5/25/2023","5/30/2023","SPG","Simon Property Group
CUSIP: 828806109","Buy","0.000881","$102.13","($0.09)"
"5/25/2023","5/25/2023","5/30/2023","D","Dominion Energy
CUSIP: 25746U109","Buy","0.487281","$51.00","($24.85)"
"5/25/2023","5/25/2023","5/30/2023","ABBV","AbbVie
CUSIP: 00287Y109","Buy","0.000642","$140.03","($0.09)"
"5/25/2023","5/25/2023","5/30/2023","ABBV","AbbVie
CUSIP: 00287Y109","Buy","0.213591","$140.03","($29.91)"
"5/25/2023","5/25/2023","5/30/2023","O","Realty Income
CUSIP: 756109104","Buy","0.000843","$59.25","($0.05)"
"5/25/2023","5/25/2023","5/30/2023","O","Realty Income
CUSIP: 756109104","Buy","0.505433","$59.25","($29.95)"
"5/25/2023","5/25/2023","5/30/2023","DUK","Duke Energy
CUSIP: 26441C204","Buy","0.000891","$89.76","($0.08)"
"5/25/2023","5/25/2023","5/30/2023","DUK","Duke Energy
CUSIP: 26441C204","Buy","0.277623","$89.76","($24.92)"
"5/25/2023","5/25/2023","5/26/2023","","ACH Deposit","ACH","","","$200.00"
"5/16/2023","5/16/2023","5/18/2023","HRL","Hormel
CUSIP: 440452100
order batcher","Buy","0.005859","$39.25","($0.23)"
"5/16/2023","5/16/2023","5/18/2023","O","Realty Income
CUSIP: 756109104
order batcher","Buy","0.003588","$61.31","($0.22)"
"5/15/2023","5/15/2023","5/15/2023","HRL","Cash Div: R/D 2023-04-17 P/D 2023-05-15 - 0.838693 shares at 0.275","CDIV","","","$0.23"
"5/15/2023","5/15/2023","5/15/2023","O","Cash Div: R/D 2023-05-01 P/D 2023-05-15 - 0.879645 shares at 0.255","CDIV","","","$0.22"
"4/17/2023","4/17/2023","4/19/2023","MDT","Medtronic
CUSIP: G5960L103
order batcher","Buy","0.002577","$81.48","($0.21)"
"4/17/2023","4/17/2023","4/19/2023","O","Realty Income
CUSIP: 756109104
order batcher","Buy","0.003598","$61.13","($0.22)"
"4/14/2023","4/14/2023","4/14/2023","MDT","Cash Div: R/D 2023-03-24 P/D 2023-04-14 - 0.312142 shares at 0.68","CDIV","","","$0.21"
"4/14/2023","4/14/2023","4/14/2023","O","Cash Div: R/D 2023-04-03 P/D 2023-04-14 - 0.876047 shares at 0.255","CDIV","","","$0.22"
"4/14/2023","4/14/2023","4/18/2023","HRL","Hormel
CUSIP: 440452100","Buy","0.254355","$39.32","($10.00)"
"4/14/2023","4/14/2023","4/14/2023","","ACH Deposit","ACH","","","$10.00"
"4/14/2023","4/14/2023","4/18/2023","WMT","Walmart
CUSIP: 931142103","Buy","0.202033","$148.49","($30.00)"
"4/14/2023","4/14/2023","4/18/2023","MSFT","Microsoft
CUSIP: 594918104","Buy","0.1051","$285.44","($30.00)"
"4/14/2023","4/14/2023","4/18/2023","ABBV","AbbVie
CUSIP: 00287Y109","Buy","0.185649","$161.60","($30.00)"
"4/14/2023","4/14/2023","4/14/2023","","ACH Deposit","ACH","","","$90.00"
"4/10/2023","4/10/2023","4/12/2023","VICI","VICI Properties
CUSIP: 925652109
order batcher","Buy","0.010819","$32.35","($0.35)"
"4/6/2023","4/6/2023","4/6/2023","VICI","Cash Div: R/D 2023-03-23 P/D 2023-04-06 - 0.889284 shares at 0.39","CDIV","","","$0.35"
"4/3/2023","4/3/2023","4/5/2023","SPG","Simon Property Group
CUSIP: 828806109
order batcher","Buy","0.00653","$113.32","($0.74)"
"3/31/2023","3/31/2023","3/31/2023","SPG","Cash Div: R/D 2023-03-10 P/D 2023-03-31 - 0.413551 shares at 1.8","CDIV","","","$0.74"
"3/23/2023","3/23/2023","3/27/2023","TGT","Target
CUSIP: 87612E106","Buy","0.159964","$156.28","($25.00)"
"3/23/2023","3/23/2023","3/27/2023","O","Realty Income
CUSIP: 756109104","Buy","0.334812","$59.74","($20.00)"
"3/23/2023","3/23/2023","3/27/2023","VICI","VICI Properties
CUSIP: 925652109","Buy","0.824402","$30.32","($25.00)"
"3/23/2023","3/23/2023","3/27/2023","D","Dominion Energy
CUSIP: 25746U109","Buy","0.378501","$52.84","($20.00)"
"3/23/2023","3/23/2023","3/27/2023","HRL","Hormel
CUSIP: 440452100","Buy","0.262295","$38.12","($10.00)"
"3/23/2023","3/23/2023","3/27/2023","SPG","Simon Property Group
CUSIP: 828806109","Buy","0.291318","$102.98","($30.00)"
"3/23/2023","3/23/2023","3/27/2023","VTRS","Viatris
CUSIP: 92556V106","Buy","2","$9.20","($18.39)"
"3/23/2023","3/23/2023","3/27/2023","VTRS","Viatris
CUSIP: 92556V106","Buy","0.175095","$9.20","($1.61)"
"3/23/2023","3/23/2023","3/23/2023","","ACH Deposit","ACH","","","$150.00"
"3/21/2023","3/21/2023","3/23/2023","D","Dominion Energy
CUSIP: 25746U109
order batcher","Buy","0.00497","$54.32","($0.27)"
"3/20/2023","3/20/2023","3/20/2023","D","Cash Div: R/D 2023-03-03 P/D 2023-03-20 - 0.401147 shares at 0.6675","CDIV","","","$0.27"
"3/20/2023","3/20/2023","3/22/2023","VTRS","Viatris
CUSIP: 92556V106
order batcher","Buy","0.027397","$9.49","($0.26)"
"3/17/2023","3/17/2023","3/17/2023","VTRS","Cash Div: R/D 2023-03-09 P/D 2023-03-17 - 2.156111 shares at 0.12","CDIV","","","$0.26"
"3/16/2023","3/16/2023","3/20/2023","O","Realty Income
CUSIP: 756109104
order batcher","Buy","0.00225","$62.21","($0.14)"
"3/15/2023","3/15/2023","3/15/2023","O","Cash Div: R/D 2023-03-01 P/D 2023-03-15 - 0.538985 shares at 0.2545","CDIV","","","$0.14"
"3/13/2023","3/13/2023","3/15/2023","TGT","Target
CUSIP: 87612E106
order batcher","Buy","0.000891","$157.06","($0.14)"
"3/10/2023","3/10/2023","3/10/2023","TGT","Cash Div: R/D 2023-02-15 P/D 2023-03-10 - 0.12512 shares at 1.08","CDIV","","","$0.14"
"3/8/2023","3/8/2023","3/10/2023","MDT","Medtronic
CUSIP: G5960L103","Buy","0.12704","$78.72","($10.00)"
"3/8/2023","3/8/2023","3/10/2023","DUK","Duke Energy
CUSIP: 26441C204","Buy","0.105842","$94.48","($10.00)"
"3/8/2023","3/8/2023","3/10/2023","INTC","Intel
CUSIP: 458140100","Buy","0.387521","$25.80","($10.00)"
"3/8/2023","3/8/2023","3/10/2023","VTRS","Viatris
CUSIP: 92556V106","Buy","0.945626","$10.58","($10.00)"
"3/8/2023","3/8/2023","3/10/2023","HRL","Hormel
CUSIP: 440452100","Buy","0.249656","$40.06","($10.00)"
"3/8/2023","3/8/2023","3/10/2023","D","Dominion Energy
CUSIP: 25746U109","Buy","0.182165","$54.90","($10.00)"
"3/8/2023","3/8/2023","3/8/2023","","ACH Deposit","ACH","","","$10.00"
"3/8/2023","3/8/2023","3/8/2023","","ACH Deposit","ACH","","","$50.00"
"3/2/2023","3/2/2023","3/6/2023","INTC","Intel
CUSIP: 458140100
order batcher","Buy","0.024734","$25.47","($0.63)"
"3/1/2023","3/1/2023","3/1/2023","INTC","Cash Div: R/D 2023-02-07 P/D 2023-03-01 - 1.736514 shares at 0.365","CDIV","","","$0.63"
"2/22/2023","2/22/2023","2/24/2023","SPG","Simon Property Group
CUSIP: 828806109","Buy","0.124013","$120.96","($15.00)"
"2/22/2023","2/22/2023","2/24/2023","O","Realty Income
CUSIP: 756109104","Buy","0.225292","$66.58","($15.00)"
"2/22/2023","2/22/2023","2/24/2023","VTRS","Viatris
CUSIP: 92556V106","Buy","1.295896","$11.58","($15.00)"
"2/22/2023","2/22/2023","2/24/2023","DUK","Duke Energy
CUSIP: 26441C204","Buy","0.254608","$98.19","($25.00)"
"2/22/2023","2/22/2023","2/24/2023","VICI","VICI Properties
CUSIP: 925652109","Buy","0.889284","$33.74","($30.00)"
"2/22/2023","2/22/2023","2/22/2023","","ACH Deposit","ACH","","","$100.00"
"2/16/2023","2/16/2023","2/21/2023","HRL","Hormel
CUSIP: 440452100
order batcher","Buy","0.00134","$44.75","($0.06)"
"2/16/2023","2/16/2023","2/21/2023","O","Realty Income
CUSIP: 756109104
order batcher","Buy","0.001212","$65.96","($0.08)"
"2/15/2023","2/15/2023","2/15/2023","HRL","Cash Div: R/D 2023-01-17 P/D 2023-02-15 - 0.213219 shares at 0.275","CDIV","","","$0.06"
"2/15/2023","2/15/2023","2/15/2023","O","Cash Div: R/D 2023-02-01 P/D 2023-02-15 - 0.312481 shares at 0.2485","CDIV","","","$0.08"
"1/27/2023","1/27/2023","1/31/2023","MDT","Medtronic
CUSIP: G5960L103","Buy","0.060856","$82.16","($5.00)"
"1/27/2023","1/27/2023","1/31/2023","HRL","Hormel
CUSIP: 440452100","Buy","0.112183","$44.57","($5.00)"
"1/27/2023","1/27/2023","1/31/2023","SPG","Simon Property Group
CUSIP: 828806109","Buy","0.079154","$126.34","($10.00)"
"1/27/2023","1/27/2023","1/31/2023","D","Dominion Energy
CUSIP: 25746U109","Buy","0.160217","$62.42","($10.00)"
"1/27/2023","1/27/2023","1/31/2023","INTC","Intel
CUSIP: 458140100","Buy","0.368935","$27.10","($10.00)"
"1/26/2023","1/26/2023","1/30/2023","INTC","Intel
CUSIP: 458140100","Buy","0.367579","$27.20","($10.00)"
"1/26/2023","1/26/2023","1/26/2023","","ACH Deposit","ACH","","","$50.00"
"1/23/2023","1/23/2023","1/25/2023","O","Realty Income
CUSIP: 756109104","Buy","0.161378","$66.18","($10.68)"
"1/23/2023","1/23/2023","1/25/2023","VTRS","Viatris
CUSIP: 92556V106","Buy","0.860215","$11.63","($10.00)"
"1/23/2023","1/23/2023","1/25/2023","INTC","Intel
CUSIP: 458140100","Buy","1","$29.32","($29.32)"
"1/23/2023","1/23/2023","1/23/2023","","ACH Deposit","ACH","","","$50.00"
"1/13/2023","1/13/2023","1/13/2023","AMZN","Amazon
CUSIP: 023135106","REC","0.051","",""
"1/12/2023","1/12/2023","1/17/2023","D","Dominion Energy
CUSIP: 25746U109","Buy","0.159718","$62.61","($10.00)"
"1/12/2023","1/12/2023","1/17/2023","MDT","Medtronic
CUSIP: G5960L103","Buy","0.124246","$80.48","($10.00)"
"1/12/2023","1/12/2023","1/17/2023","HRL","Hormel
CUSIP: 440452100","Buy","0.213219","$46.90","($10.00)"
"1/12/2023","1/12/2023","1/17/2023","O","Realty Income
CUSIP: 756109104","Buy","0.151103","$66.18","($10.00)"
"1/12/2023","1/12/2023","1/12/2023","","ACH Deposit","ACH","","","$10.00"
"1/12/2023","1/12/2023","1/12/2023","","ACH Deposit","ACH","","","$30.00"
"1/9/2023","1/9/2023","1/11/2023","D","Dominion Energy
CUSIP: 25746U109","Buy","0.08105","$61.54","($4.99)"
"1/9/2023","1/9/2023","1/11/2023","D","Dominion Energy
CUSIP: 25746U109","Buy","0.000162","$61.54","($0.01)"
"1/9/2023","1/9/2023","1/11/2023","SPG","Simon Property Group
CUSIP: 828806109","Buy","0.210384","$118.83","($25.00)"
"1/9/2023","1/9/2023","1/11/2023","TGT","Target
CUSIP: 87612E106","Buy","0.000187","$159.88","($0.03)"
"1/9/2023","1/9/2023","1/11/2023","TGT","Target
CUSIP: 87612E106","Buy","0.124933","$159.88","($19.97)"
"1/9/2023","1/9/2023","1/9/2023","AMZN","Amazon
CUSIP: 023135106","REC","0.0588","",""
"1/9/2023","1/9/2023","1/9/2023","","ACH Deposit","ACH","","","$50.00"
""
"","","","","","","","","","The data provided is for informational purposes only. Please consult a professional tax service or personal tax advisor if you need instructions on how to calculate cost basis or questions regarding your specific tax situation. Reminder: This data does not include Robinhood Crypto or Robinhood Spending activity."
